tx_id,r,s,z
c2d30f6a69f52d09b0ad7cf45da20f81fcb922050556fc81af44999860e7074e,3adf0254145b1245ffb89cbe7c446d84401bbc7869b074553a0b71fb4bf15e58,60626e8f68af5e97c2d9f55a143362a9f40b40ae47e020672ffc2eec999d3c25,0ebbb2c673c2484e569dc6676dcf151131208e2c43fce46afb2083b124bb7cc8
1c72a3a645e98fbd13a9cb5f011bfeafe90066da53426aa07a58d5e02e4da0e7,70b8d9f77a88839ef4d66ef127677ac555acfc35f32e4e0f9099b64cc446eb30,5fd72ee33b271533ba262da64e6892e373d2f8a4366f9e6201193431b87e6d67,5cf4c6d4071aeb8184057e624fe4fbf410cb4055147295f000750d494be9be02
22f98061268c9e3aea7b292993741838ef72269276c593f8d3b4671b078c114c,7805d9b34130e32e0124814523e3c16256a71ee13d17e97b760f8b3fb21d6018,1e1a5ca67fa4fb45f6f9a67ecea62e8daf3cb77f143a0f295a8660088c65408,889a75b2ec9b9b5de7bc2ebf7db46ca7bbe589c9f5d3026a2dcb4b1fd4c4c7c8
300a47947b18050ee8a6b016868b5a5de65b3b47d49e7e7877e91b43f7689894,15004952c473cfbfc5cc775cc7bd5e659062a48ef6af36bd53eefe96b35467c0,620f82be6568a8e5d45f59d52e7a965d929346d483854fa1ef3900f29106c9ce,c0120a45b03df1ad7de71bba6f7b40e566c5efabf63744bf61137ea7ac9f05cd
fe07acaef1078b59f350a3a5e91f908a04972120224777fe4e67115505c38e2d,323623e16c59a339df5803bd1e04c78132d0fe1911e8adeae92867217d7a5988,3c2ff0aa66fc659e45559466251dd118add7e26f8c6c4416c1a26df45b9c6758,dcbb4f01cd0bd4d1a37cb99f9857b537a041c57eb81918698b91fd9edd952b1e
5b1c124b6b351e883ed97ea904f5d500b53856cff47e1c234fe33fd0126bb8cb,4b738509ebaa394d189b358c8dda27413368934424167c4cc8a10aa30b7c3bd0,602aed518ea8c095ee1a2247c694aa5a3642ac2af9dda286a6b7fad29150898e,66d1338d34791bd381ea2eacd84aa78a940353bc53abb2a1f5fb898920899ec1
f5f13c6c6558792edf533bdb7abcefec4ffca86f90f6f0ac4d1730ad2a9893a8,79a6ecbd77da6a31918cd8049357a142b4d43e51193769a1475c9d6a4af730b8,620404e76248c29772119f66720359fa80bb1e2d6e82d7bb9ef4b693fdb24d4e,926cd1fa209a3bc16a17ff0f094d1935e8cbf242cfb7eb69d6deaa00193e046e
5b98ee2b32cf91b8199459aefd8d5653bdf802f96a41c26ee0ba410d38068b63,45fdc580bb051d48e78f02754223f94094719926f066869d946da026ea355d80,5c51076f6a9949dff156d8bc85e533528bb2932396ccb354e8c8ae2cd3c0d374,b1c394f6182b3c77e7e91c105ac540dc0134b7fcaea803db952d06145a0e5e68
7e2593afc59f71e6ed3b465007ea177933631dd50e87940e2b61b9f811693711,3fca9d2ee576d98d10e96af4784b4574fc72e55d8073b483f3e6b6457ad56588,35049ea42bae22d9332d5f614078a7a23c3582b47fe6442f93102e759e3c1dc6,9837b513e2d2520b8ae4568a1045503933ffb7bf14380ab8817a0da1c4519cf4
c122974872cb6b6ca0e2fd236a4b5a569c439dc1851df82507e4b1a436079ecd,513834c0f8a37708d1f1c18022cf2b8165260e7fd8c55bca99379e896e8e47a0,4b2a325c07c4f6b3415d869fca3aeb0da3e8da5e9ab0af53fbcb25e02110181c,36ed3ddb78f10cca9daa4ff0e4c37ebf71f9f0a72d9c2cb2a83a1b025a8150f4
90bd4529b37247a460638d4fc848ba6d86b313e2d634cf33421342e5e48185f7,7e6da4ec97e242e0fef3a53ebcaba6cec601adf1fef3a4ad43a943a70a41afb0,61507c2ac881747cdc859925bca0cba2d0e9622f870baf1d1a831a222a24b897,3c5e1cf676747752fc44258f0dd2804910c7692aa98dcd871b7be54dccc349b1
a60270caebafcfa543d8202b088b9251e086880a58a8200cc8e1db35ddb6e1b5,62b71129ef4d498990e140e79e643b159c0a9c3f238d3d64beea8b13c5777d30,449587b05457d0e230cf2165fc88df262f66d2c9c49826d7fa106b56d0e2ba04,34eab2285f6734d50fa191282016243738e4c99edd3ac322f6eb1f7cc6edf9bf
